Season,Episode No.,Episode No. (Overall),Title,Airdate,Rating,Votes,Viewership,Duration,Michael Scott (Steve Carell),About
3,10,38,A Benihana Christmas,2006-12-14,8.7,6321,8.44,42,True,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol."
3,11,39,Back from Vacation,2007-01-04,8.5,5692,8.8,21,True,"Michael isn't supposed to let anyone know that he and Jan went on vacation together in Jamaica, but he accidentally circulates a compromising photo of them to the office via e-mail."
3,12,40,Traveling Salesmen,2007-01-11,8.5,5729,10.12,22,True,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired."
3,13,41,The Return,2007-01-18,8.7,6003,10.2,28,True,"Andy does the impossible--he makes everyone in the office miss Dwight, who is forced to take a job at Staples. Meanwhile, Oscar comes back to the office and Michael predictably throws a stereotypical Mexican party to celebrate."
3,14,42,Ben Franklin,2007-02-01,7.9,5542,10.11,21,True,"Michael asks Jim to get a male stripper for Phyllis's office bachelorette party, but he gets a Ben Franklin impersonator instead. Meanwhile, the men's bachelor party goes as planned until Michael becomes uncomfortable with the stripper."
3,15,43,Phyllis' Wedding,2007-02-08,8.0,5633,8.84,21,True,"Michael exaggerates the importance of his small role in Phyllis's wedding and makes an ass out of himself, and Pam notices that Phyllis stole all of her wedding ideas from her original wedding plans."
3,16,44,Business School,2007-02-15,8.8,6515,8.84,22,True,"Michael is a guest speaker for Ryan's business class, but they have a falling out after Michael finds out that Ryan spoke negatively about Dunder Mifflin. Back at the office, Dwight tries to kill a bat that he found in the ceiling."
3,17,45,Cocktails,2007-02-22,8.3,5550,8.3,21,True,"While Michael and Jan go to their first Dunder Mifflin outing as an official couple, the office workers left behind go out for happy hour. During happy hour, Roy finds out that Jim and Pam kissed on Casino Night."
3,18,46,The Negotiation,2007-04-05,8.9,6331,6.74,30,True,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself."
3,19,47,Safety Training,2007-04-12,8.6,5868,7.71,21,True,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace."
3,20,48,Product Recall,2007-04-26,8.5,5781,7.56,21,True,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend."
3,21,49,Women's Appreciation,2007-05-03,8.7,5870,7.0,29,True,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan."
3,22,50,Beach Games,2007-05-10,9.0,6770,7.2,28,True,"Michael uses ""beach day"" at Dunder-Mifflin to find out which employee would be his most capable replacement, just in case he receives the promotion to the New York office that he's applied for."
3,23,51,The Job,2007-05-17,9.2,7134,7.88,42,True,"Michael appoints Dwight as regional manager, anticipating that he will receive the job at corporate. Jim and Karen also interview for the same position. And Michael gets back together with Jan after she gets a boob job."
4,1,52,Fun Run,2007-09-27,8.7,6517,9.7,42,True,"Michael accidentally runs over Meridith in the parking lot, and his guilt causes him to organize a 5-K run for her. Dwight and Angela have a falling-out after he kills her cat, and Jim and Pam's relationship is discovered."
4,2,53,Dunder Mifflin Infinity,2007-10-04,8.1,5440,8.49,42,True,"Michael feels threatened when Ryan returns to the Scranton office to share his ideas about the future of Dunder Mifflin. Jim and Pam's relationship is shared with the entire office, while Angela and Dwight's relationship is on the rocks."
